City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Wenling,CN,61.92,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
595,San Fernando,PH,79.14,overcast clouds,15.0286,120.6898,Maharlika Hostel
596,Rusape,ZW,72.77,broken clouds,-18.5278,32.1284,Surrey Lodge
598,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
599,Vera Cruz,BR,76.8,overcast clouds,-12.6333,-41.0333,
600,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
602,Shenjiamen,CN,64.58,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
603,North Myrtle Beach,US,78.26,clear sky,33.816,-78.68,Avista Resort
605,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
606,Aguililla,MX,78.31,overcast clouds,18.7333,-102.7333,
607,Kourou,GF,77.11,moderate rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
608,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
611,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
613,Lingao,CN,69.53,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
614,Parana,AR,73.51,broken clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
615,Kheri,IN,70.39,clear sky,27.9,80.8,funn mall hotel the landmark Royale
616,Montelibano,CO,82.78,overcast clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
624,Flagstaff,US,63.57,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
627,Ahipara,NZ,61.34,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
628,Bilma,NE,84.85,clear sky,18.6853,12.9164,Expeditions Ténére voyages
632,Kawalu,ID,73.71,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
633,Atlantic City,US,65.01,overcast clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
635,Puerto Lempira,HN,82.6,broken clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
636,George Town,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
641,Imbituba,BR,71.82,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
642,Sabang,ID,80.83,overcast clouds,5.8933,95.3214,Hotel Citra
